Date,Open,High,Low,Close,Volume,Adj Close
2014-10-09,88.92,89.14,86.80,86.86,263000,86.86
2014-10-08,88.00,88.88,86.67,88.76,225700,88.76
2014-10-07,87.73,88.40,87.50,87.60,307800,87.60
2014-10-06,88.77,88.86,88.10,88.45,205500,88.45
2014-10-03,87.96,88.61,87.55,88.22,392700,88.22
2014-10-02,86.54,87.26,85.38,87.20,328300,87.20
2014-10-01,88.21,88.21,85.61,86.36,422300,86.36
2014-09-30,89.54,89.63,88.12,88.13,679600,88.13
2014-09-29,88.08,90.39,88.08,89.81,232200,89.81
2014-09-26,87.92,89.31,87.10,89.01,270000,89.01
2014-09-25,89.09,89.21,87.10,87.84,276000,87.84
2014-09-24,88.99,89.73,87.70,89.41,394500,89.41
2014-09-23,88.73,89.31,87.86,88.53,363900,88.53
2014-09-22,88.77,88.96,87.17,88.73,280800,88.73
2014-09-19,92.58,92.90,89.08,89.23,434600,89.23
2014-09-18,90.15,93.15,89.00,91.85,696100,91.85
2014-09-17,87.48,91.40,86.75,90.18,530000,90.18
2014-09-16,85.86,87.77,85.66,87.51,286700,87.51
2014-09-15,86.26,86.46,84.91,86.31,230300,86.31
2014-09-12,86.76,87.14,85.52,86.38,150600,86.38
2014-09-11,86.00,87.48,85.60,86.95,171800,86.95
2014-09-10,85.67,86.59,85.08,86.22,143100,86.22
2014-09-09,87.93,87.93,85.41,85.80,203900,85.80
2014-09-08,87.02,87.91,86.32,87.63,191000,87.63
2014-09-05,86.49,87.22,86.15,87.18,141100,87.18
2014-09-04,87.16,87.94,86.42,86.70,120600,86.70
2014-09-03,88.17,89.00,86.94,87.18,199200,87.18
2014-09-02,86.73,88.97,86.50,88.29,344300,88.29
2014-08-29,86.31,86.52,85.59,86.23,155400,86.23
2014-08-28,85.16,86.42,84.95,86.12,183600,86.12
2014-08-27,86.27,86.97,85.47,85.86,225500,85.86
2014-08-26,87.44,87.63,86.24,86.29,288000,86.29
2014-08-25,87.83,87.99,87.08,87.25,134800,87.25
2014-08-22,87.55,88.16,86.91,87.56,229700,87.56
2014-08-21,87.68,87.73,86.07,87.55,216100,87.55
2014-08-20,87.95,88.09,87.10,87.59,168300,87.59
2014-08-19,89.30,89.47,87.96,88.13,227200,88.13
2014-08-18,87.45,88.86,87.02,88.74,246700,88.74
2014-08-15,88.00,88.19,85.70,86.72,450000,86.72
2014-08-14,84.87,87.95,84.72,87.77,559000,87.77
2014-08-13,83.63,84.77,83.58,84.70,259000,84.70
2014-08-12,84.32,85.73,83.51,83.60,398600,83.60
2014-08-11,82.78,85.90,82.03,84.35,405900,84.35
2014-08-08,82.82,83.85,80.51,81.99,657600,81.99
2014-08-07,80.77,85.55,75.00,82.69,1230800,82.69
2014-08-06,71.73,72.64,71.58,72.16,469300,72.16
2014-08-05,71.93,72.68,71.40,71.77,477000,71.77
2014-08-04,72.24,72.67,71.47,72.43,491300,72.43
2014-08-01,72.75,72.80,70.55,72.00,352800,72.00
2014-07-31,73.67,73.67,72.42,72.86,327600,72.86
2014-07-30,74.30,74.77,73.41,74.06,271400,74.06
2014-07-29,74.28,74.73,73.12,73.18,363000,73.18
2014-07-28,74.50,74.99,74.24,74.28,269300,74.28
2014-07-25,74.27,75.34,74.25,74.49,269600,74.49
2014-07-24,75.66,76.70,74.36,74.53,300800,74.53
2014-07-23,75.01,76.63,74.70,75.73,310800,75.73
2014-07-22,74.90,75.72,74.50,74.84,333900,74.84
2014-07-21,75.50,75.62,74.33,74.86,224200,74.86
2014-07-18,74.79,76.09,74.66,75.73,399700,75.73
2014-07-17,76.36,76.66,74.69,74.78,402200,74.78
2014-07-16,78.19,78.76,76.56,76.67,367100,76.67
2014-07-15,78.38,79.10,76.68,77.37,440000,77.37
2014-07-14,79.33,79.85,78.07,78.15,398600,78.15
2014-07-11,79.90,80.77,78.53,78.59,363400,78.59
2014-07-10,79.01,80.02,78.72,79.85,407600,79.85
2014-07-09,80.04,80.68,79.38,79.95,311900,79.95
2014-07-08,81.35,81.35,79.31,79.93,461900,79.93
2014-07-07,83.06,83.82,81.22,81.29,361900,81.29
2014-07-03,82.68,83.45,82.51,83.36,170600,83.36
2014-07-02,83.25,84.12,82.61,82.78,247500,82.78
2014-07-01,83.01,84.25,83.01,83.20,283400,83.20
2014-06-30,80.89,84.45,80.75,82.72,749900,82.72
2014-06-27,80.60,82.65,79.60,80.24,6478700,80.24
2014-06-26,245.22,247.00,241.06,244.09,491400,81.36
2014-06-25,242.44,245.45,241.86,245.09,443700,81.70
2014-06-24,243.40,246.28,242.36,243.36,608700,81.12
2014-06-23,244.75,246.66,243.60,244.00,368700,81.33
2014-06-20,245.66,248.79,243.48,244.41,689400,81.47
2014-06-19,248.35,248.70,243.40,244.14,507900,81.38
2014-06-18,247.20,249.35,245.00,248.84,316800,82.95
2014-06-17,242.51,250.77,240.79,247.20,451200,82.40
2014-06-16,241.98,242.85,238.60,242.61,660600,80.87
2014-06-13,246.49,247.60,241.90,243.00,352200,81.00
2014-06-12,247.60,248.05,243.33,245.14,372000,81.71
2014-06-11,247.65,249.65,245.92,246.79,357900,82.26
2014-06-10,251.00,253.24,245.88,248.24,481200,82.75
2014-06-09,251.35,254.61,248.35,252.58,447900,84.19
2014-06-06,251.31,252.91,249.36,252.41,409500,84.14
2014-06-05,245.42,250.92,242.22,249.35,382500,83.12
2014-06-04,245.67,247.96,243.06,245.42,469500,81.81
2014-06-03,251.01,255.68,246.32,246.53,735000,82.18
2014-06-02,240.04,252.52,239.14,251.48,1080900,83.83
2014-05-30,239.56,239.56,235.92,238.82,591600,79.61
2014-05-29,237.92,238.91,233.59,238.51,429000,79.50
2014-05-28,235.85,237.03,232.66,236.03,512100,78.68
2014-05-27,234.19,239.11,234.19,236.47,428100,78.82
2014-05-23,228.28,234.88,226.44,234.17,559200,78.06
2014-05-22,224.82,228.41,223.83,227.50,501300,75.83
2014-05-21,227.39,230.00,223.62,224.93,370800,74.98
2014-05-20,231.00,234.34,223.64,227.23,700800,75.74
2014-05-19,222.26,231.36,220.70,231.18,560400,77.06
2014-05-16,224.39,225.91,220.58,224.19,672300,74.73
2014-05-15,219.15,224.99,216.17,224.67,875700,74.89
2014-05-14,226.00,226.50,217.27,217.55,549600,72.52
2014-05-13,229.74,235.18,224.96,226.41,573300,75.47
2014-05-12,231.08,235.00,217.81,229.31,1416300,76.44
2014-05-09,247.15,247.15,228.91,230.89,1035300,76.96
2014-05-08,244.98,258.49,227.45,250.47,1864200,83.49
2014-05-07,249.16,253.86,245.26,248.76,615900,82.92
2014-05-06,255.60,256.65,248.21,249.91,465600,83.30
2014-05-05,256.00,260.09,255.77,257.83,331500,85.94
2014-05-02,255.33,260.54,253.37,257.40,506400,85.80
2014-05-01,251.65,256.53,250.25,254.15,397500,84.72
2014-04-30,249.91,254.17,247.36,252.48,276000,84.16
2014-04-29,250.96,253.16,246.45,249.74,236400,83.25
2014-04-28,253.19,258.67,245.05,250.63,449100,83.54
2014-04-25,255.17,261.48,250.81,252.61,531300,84.20
2014-04-24,260.00,260.80,254.90,256.94,207600,85.65
2014-04-23,261.17,261.92,253.64,258.15,311700,86.05
2014-04-22,261.39,264.57,260.13,261.71,232200,87.24
2014-04-21,264.19,266.30,258.40,261.65,381600,87.22
2014-04-17,264.61,266.97,261.51,263.77,367800,87.92
2014-04-16,257.81,266.00,257.81,264.61,400500,88.20
2014-04-15,252.25,258.63,250.02,256.60,548700,85.53
2014-04-14,252.53,252.92,246.20,250.82,554100,83.61
2014-04-11,246.10,254.20,245.08,249.59,395400,83.20
2014-04-10,261.79,261.79,250.50,251.34,343800,83.78
2014-04-09,256.99,263.12,256.99,262.26,258000,87.42
2014-04-08,252.27,255.84,249.24,255.47,618600,85.16
2014-04-07,254.42,254.71,250.15,252.27,525900,84.09
2014-04-04,267.54,270.49,255.77,256.83,424500,85.61
2014-04-03,273.09,274.45,265.78,265.86,375600,88.62
2014-04-02,275.58,276.44,270.20,272.51,384000,90.84
2014-04-01,264.72,276.05,261.79,274.11,690900,91.37
2014-03-31,261.66,265.00,259.22,264.21,344700,88.07
2014-03-28,260.33,265.15,258.36,259.40,305700,86.47
2014-03-27,259.37,261.95,256.35,260.70,583800,86.90
2014-03-26,270.34,271.60,259.15,259.16,422700,86.39
2014-03-25,270.77,274.92,266.42,267.50,430200,89.17
2014-03-24,277.59,277.89,267.01,268.09,714000,89.36
2014-03-21,278.05,281.40,276.24,276.94,575700,92.31
2014-03-20,279.27,281.13,276.46,277.17,253200,92.39
2014-03-19,283.41,285.47,277.77,280.78,224100,93.59
2014-03-18,287.55,290.02,283.03,284.09,329700,94.70
2014-03-17,288.24,292.99,286.81,287.50,271800,95.83
2014-03-14,281.11,288.37,280.33,285.31,450000,95.10
2014-03-13,280.65,284.74,279.78,281.73,473400,93.91
2014-03-12,277.10,279.32,273.71,279.32,262200,93.11
2014-03-11,284.95,286.32,276.95,278.65,300000,92.88
2014-03-10,287.02,288.33,282.86,285.42,222900,95.14
2014-03-07,288.93,289.05,285.08,287.47,292500,95.82
2014-03-06,284.31,289.32,281.00,286.56,304800,95.52
2014-03-05,289.35,291.92,282.52,285.20,427800,95.07
2014-03-04,293.00,299.87,286.24,289.75,861300,96.58
2014-03-03,291.76,292.71,285.52,288.97,594900,96.32
2014-02-28,300.80,304.82,295.63,296.56,410100,98.85
2014-02-27,300.00,306.12,298.96,299.75,773400,99.92
2014-02-26,294.00,303.29,290.00,299.48,1554000,99.83
2014-02-25,264.13,266.76,260.64,263.71,312000,87.90
2014-02-24,262.67,267.34,260.62,263.39,298800,87.80
2014-02-21,261.34,264.75,256.41,262.54,372600,87.51
2014-02-20,256.67,260.53,255.23,259.58,303600,86.53
2014-02-19,258.38,260.90,256.83,257.27,224100,85.76
2014-02-18,255.89,259.42,254.25,258.76,303300,86.25
2014-02-14,255.23,255.49,250.43,254.15,172200,84.72
2014-02-13,244.99,255.80,244.00,254.37,339900,84.79
2014-02-12,245.50,249.97,244.85,247.04,150600,82.35
2014-02-11,244.97,246.48,243.14,245.21,201900,81.74
2014-02-10,248.66,248.66,243.01,245.66,234600,81.89
2014-02-07,242.25,249.03,242.25,248.32,292800,82.77
2014-02-06,238.64,242.14,237.26,241.79,364200,80.60
2014-02-05,240.72,242.91,235.22,238.45,327600,79.48
2014-02-04,240.00,244.40,238.09,241.66,277500,80.55
2014-02-03,246.59,249.52,237.58,238.39,579600,79.46
2014-01-31,240.13,248.70,238.01,246.58,646500,82.19
2014-01-30,243.72,247.34,243.48,243.75,355800,81.25
2014-01-29,240.79,244.37,238.59,242.09,310200,80.70
2014-01-28,238.01,250.97,237.47,243.99,740700,81.33
2014-01-27,244.98,246.31,237.03,237.89,471900,79.30
2014-01-24,253.05,253.75,242.73,243.61,439800,81.20
2014-01-23,256.57,256.57,252.69,254.15,212100,84.72
2014-01-22,257.62,259.99,256.39,257.00,336300,85.67
2014-01-21,255.03,258.21,253.97,256.40,364200,85.47
2014-01-17,250.00,253.38,249.66,252.62,256800,84.21
2014-01-16,250.00,251.59,247.75,250.11,193500,83.37
2014-01-15,247.71,250.70,245.51,249.71,393000,83.24
2014-01-14,245.62,246.90,242.53,246.02,388800,82.01
2014-01-13,247.29,249.40,242.05,243.89,320100,81.30
2014-01-10,248.53,249.79,247.23,249.04,181800,83.01
2014-01-09,247.42,249.47,245.47,248.53,241800,82.84
2014-01-08,254.72,255.81,246.30,247.07,463200,82.36
2014-01-07,252.26,255.88,251.14,254.31,298800,84.77
2014-01-06,252.62,252.62,249.34,251.88,486600,83.96
2014-01-03,248.50,253.97,246.98,249.89,501900,83.30
2014-01-02,239.60,248.07,236.74,247.86,537300,82.62
2013-12-31,242.27,242.41,239.45,239.72,294900,79.91
2013-12-30,243.69,244.43,240.74,242.27,159000,80.76
2013-12-27,245.90,245.90,241.61,242.50,241200,80.83
2013-12-26,246.80,248.54,243.51,244.54,209100,81.51
2013-12-24,241.47,247.69,241.47,244.85,198300,81.62
2013-12-23,241.25,243.98,240.32,240.62,305700,80.21
2013-12-20,230.52,240.84,229.21,240.32,620700,80.11
2013-12-19,226.11,229.94,226.03,229.53,243000,76.51
2013-12-18,226.16,227.99,222.50,227.12,327000,75.71
2013-12-17,228.01,229.00,224.20,226.44,221100,75.48
2013-12-16,225.52,230.36,225.52,228.75,305700,76.25
2013-12-13,223.92,225.97,222.79,224.75,208800,74.92
2013-12-12,221.44,224.90,220.05,223.22,252600,74.41
2013-12-11,222.70,223.00,220.11,221.44,236400,73.81
2013-12-10,223.33,225.48,222.11,222.18,288000,74.06
2013-12-09,223.86,226.46,222.24,224.43,198300,74.81
2013-12-06,221.59,225.28,219.87,224.32,154500,74.77
2013-12-05,218.93,221.68,217.50,219.84,205200,73.28
2013-12-04,218.34,219.92,216.50,218.55,201000,72.85
2013-12-03,220.32,222.96,217.30,218.64,200700,72.88
2013-12-02,221.42,227.83,219.65,220.58,380700,73.53
2013-11-29,221.00,222.45,220.13,220.84,168900,73.61
2013-11-27,218.50,220.92,217.53,219.76,226200,73.25
2013-11-26,213.28,218.64,212.06,218.23,272700,72.74
2013-11-25,214.91,216.34,212.27,213.60,173100,71.20
2013-11-22,213.36,214.21,211.27,213.93,176100,71.31
2013-11-21,208.34,213.93,207.66,213.36,247800,71.12
2013-11-20,206.61,209.77,206.12,207.36,251700,69.12
2013-11-19,209.04,209.98,204.15,205.78,451800,68.59
2013-11-18,215.49,217.09,208.60,209.55,510300,69.85
2013-11-15,222.01,222.01,214.00,215.93,638700,71.98
2013-11-14,220.62,224.64,220.51,221.94,261900,73.98
2013-11-13,215.90,220.25,213.80,220.19,197700,73.40
2013-11-12,218.90,219.00,215.19,216.76,345000,72.25
2013-11-11,222.90,224.53,218.34,219.00,541800,73.00
2013-11-08,216.15,227.30,216.15,224.00,509400,74.67
2013-11-07,227.42,227.42,216.22,216.27,517200,72.09
2013-11-06,239.00,239.00,215.00,225.62,867000,75.21
2013-11-05,224.89,229.14,221.58,226.23,800400,75.41
2013-11-04,230.00,231.32,226.72,227.12,415500,75.71
2013-11-01,227.13,231.00,227.00,227.81,429000,75.94
2013-10-31,227.71,230.97,225.28,227.65,224100,75.88
2013-10-30,228.88,229.38,225.52,227.51,375600,75.84
2013-10-29,230.92,233.44,228.33,229.42,217800,76.47
2013-10-28,231.58,231.58,227.52,230.92,276000,76.97
2013-10-25,231.61,232.17,227.73,231.58,141300,77.19
2013-10-24,226.63,231.49,226.38,229.42,237300,76.47
2013-10-23,226.58,228.39,224.11,224.63,181200,74.88
2013-10-22,224.00,228.89,224.00,228.65,267900,76.22
2013-10-21,224.05,224.98,220.93,222.07,192000,74.02
2013-10-18,218.77,223.35,217.18,223.08,246600,74.36
2013-10-17,211.96,216.90,210.33,216.69,197700,72.23
2013-10-16,213.12,214.98,211.72,212.63,291900,70.88
2013-10-15,217.41,217.55,211.74,211.90,335100,70.63
2013-10-14,213.75,217.80,212.22,217.45,246000,72.48
2013-10-11,207.59,215.65,207.59,215.55,156600,71.85
2013-10-10,207.50,208.00,206.26,207.74,265500,69.25
2013-10-09,207.03,207.42,201.31,204.71,228000,68.24
2013-10-08,207.39,207.75,204.75,205.92,232500,68.64
2013-10-07,210.04,211.30,207.51,208.00,189600,69.33
2013-10-04,208.84,213.33,208.41,211.58,160500,70.53
2013-10-03,215.20,216.91,207.29,208.84,288600,69.61
2013-10-02,214.05,217.24,212.26,215.34,331500,71.78
2013-10-01,209.49,216.29,208.91,214.80,360000,71.60
2013-09-30,208.00,209.99,206.69,208.91,234000,69.64
2013-09-27,210.70,211.31,209.10,210.24,156300,70.08
2013-09-26,212.68,214.43,211.01,211.86,169200,70.62
2013-09-25,213.39,214.47,210.29,211.69,244200,70.56
2013-09-24,211.37,215.10,209.50,213.12,296100,71.04
2013-09-23,214.62,214.62,208.70,211.65,412500,70.55
2013-09-20,215.30,215.78,212.19,212.25,459600,70.75
2013-09-19,219.28,220.01,214.00,215.11,236100,71.70
2013-09-18,213.73,217.82,210.65,216.21,253200,72.07
2013-09-17,211.07,215.87,210.61,214.35,302400,71.45
2013-09-16,209.61,211.86,207.60,210.97,237900,70.32
2013-09-13,208.14,209.59,202.64,205.57,278700,68.52
2013-09-12,213.12,213.50,207.05,207.07,180900,69.02
2013-09-11,207.83,212.83,207.79,211.38,448500,70.46
2013-09-10,205.00,208.11,203.50,207.67,282000,69.22
2013-09-09,197.94,204.92,197.11,203.07,298500,67.69
2013-09-06,196.77,198.74,195.51,196.28,244800,65.43
2013-09-05,194.59,198.13,193.95,196.16,412500,65.39
2013-09-04,190.00,193.96,189.96,193.96,189300,64.65
2013-09-03,188.12,189.99,185.80,189.51,183900,63.17
2013-08-30,187.83,187.83,184.11,185.94,281700,61.98
2013-08-29,185.07,189.48,184.62,188.46,143700,62.82
2013-08-28,186.08,186.25,183.28,184.92,236100,61.64
2013-08-27,187.95,188.36,185.32,186.43,273300,62.14
2013-08-26,190.41,191.66,188.62,189.77,190800,63.26
2013-08-23,194.18,194.19,189.88,190.48,165000,63.49
2013-08-22,190.90,194.48,190.90,194.19,91500,64.73
2013-08-21,190.69,192.75,188.31,190.82,265200,63.61
2013-08-20,190.00,192.67,189.39,191.66,146700,63.89
2013-08-19,189.75,191.37,188.18,189.78,161400,63.26
2013-08-16,190.59,190.62,188.28,189.92,368100,63.31
2013-08-15,196.20,196.20,191.36,191.37,370200,63.79
2013-08-14,203.48,204.98,198.48,199.00,366900,66.33
2013-08-13,209.10,210.11,202.29,202.50,639600,67.50
2013-08-12,200.06,211.99,197.00,208.90,929400,69.63
2013-08-09,185.74,203.73,182.85,202.55,861900,67.52
2013-08-08,178.90,180.80,177.09,179.14,496800,59.71
2013-08-07,181.22,183.75,174.50,177.45,333000,59.15
2013-08-06,186.44,187.74,181.86,182.17,315600,60.72
2013-08-05,184.96,187.96,184.84,186.48,115800,62.16
2013-08-02,183.94,185.70,182.26,184.86,106500,61.62
2013-08-01,181.48,185.41,181.48,185.05,337500,61.68
2013-07-31,180.10,181.63,178.51,178.94,261000,59.65
2013-07-30,181.66,182.95,179.13,180.00,160200,60.00
2013-07-29,182.31,183.75,180.50,180.54,106500,60.18
2013-07-26,182.29,183.50,181.00,182.04,164700,60.68
2013-07-25,185.58,186.40,183.22,183.54,201600,61.18
2013-07-24,185.25,186.53,184.41,185.48,192300,61.83
2013-07-23,186.23,187.00,184.11,184.56,142200,61.52
2013-07-22,186.12,187.30,186.12,186.28,121200,62.09
2013-07-19,187.95,188.45,186.43,186.89,219300,62.30
2013-07-18,186.53,188.70,185.42,187.59,179400,62.53
2013-07-17,185.52,187.62,184.08,185.95,177900,61.98
2013-07-16,184.61,186.78,184.00,185.54,493500,61.85
2013-07-15,183.80,187.24,183.45,184.45,187500,61.48
2013-07-12,180.33,184.00,179.62,183.56,166200,61.19
2013-07-11,179.44,180.34,177.01,179.54,303600,59.85
2013-07-10,181.61,182.41,176.69,176.97,227700,58.99
2013-07-09,181.82,184.49,179.50,181.60,324600,60.53
2013-07-08,179.90,182.25,179.04,180.63,191400,60.21
2013-07-05,177.67,179.27,175.73,179.04,159900,59.68
2013-07-03,174.59,175.66,172.50,175.48,98400,58.49
2013-07-02,173.53,176.42,173.18,174.65,183300,58.22
2013-07-01,170.10,173.99,168.29,173.75,190200,57.92
2013-06-28,172.50,174.62,169.92,170.09,442500,56.70
2013-06-27,169.80,173.95,168.54,173.21,216600,57.74
2013-06-26,168.95,170.42,167.37,168.80,246300,56.27
2013-06-25,165.71,168.35,164.66,168.33,233100,56.11
2013-06-24,164.97,166.27,160.45,164.55,320100,54.85
2013-06-21,165.47,167.87,165.22,166.53,442200,55.51
2013-06-20,166.84,167.34,163.87,164.96,210300,54.99
2013-06-19,171.29,171.41,168.02,168.03,230100,56.01
2013-06-18,169.18,171.63,167.52,170.79,267900,56.93
2013-06-17,166.44,169.17,164.83,168.38,290100,56.13
2013-06-14,167.22,167.22,164.91,164.95,142800,54.98
2013-06-13,165.57,167.94,164.20,167.32,164400,55.77
2013-06-12,166.59,168.01,164.29,166.01,137700,55.34
2013-06-11,166.94,168.17,165.84,166.17,123900,55.39
2013-06-10,167.99,169.98,166.73,168.68,217800,56.23
2013-06-07,166.95,168.61,165.32,167.50,133200,55.83
2013-06-06,163.19,166.01,162.47,165.99,186000,55.33
2013-06-05,165.84,166.89,164.15,164.66,279300,54.89
2013-06-04,166.49,167.31,163.88,166.45,306300,55.48
2013-06-03,163.93,166.66,162.30,166.57,316800,55.52
2013-05-31,164.14,165.68,162.98,163.49,132000,54.50
2013-05-30,165.86,166.53,164.21,164.98,160200,54.99
2013-05-29,167.39,167.79,165.19,165.37,219000,55.12
2013-05-28,167.39,169.97,165.42,168.44,329100,56.15
2013-05-24,163.85,165.26,161.56,164.97,240300,54.99
2013-05-23,162.14,164.44,161.00,164.25,214200,54.75
2013-05-22,168.77,171.53,162.03,163.55,322200,54.52
2013-05-21,166.70,170.27,166.20,168.77,386700,56.26
2013-05-20,164.75,167.05,164.59,166.19,351900,55.40
2013-05-17,162.53,164.61,162.34,164.52,266400,54.84
2013-05-16,164.78,164.99,161.57,162.36,243600,54.12
2013-05-15,163.05,167.28,161.61,165.17,533700,55.06
2013-05-14,159.94,162.66,159.00,162.65,367500,54.22
2013-05-13,163.62,164.72,159.07,159.49,505200,53.16
2013-05-10,152.57,166.66,152.06,164.28,1033500,54.76
2013-05-09,153.01,156.90,150.31,151.78,959400,50.59
2013-05-08,145.50,146.89,143.47,146.67,257400,48.89
2013-05-07,143.31,146.99,143.21,145.34,303900,48.45
2013-05-06,145.00,145.11,142.71,142.99,248100,47.66
2013-05-03,145.86,148.25,144.22,144.78,462900,48.26
2013-05-02,144.22,146.06,143.21,144.13,423900,48.04
2013-05-01,148.77,148.77,143.87,143.93,393300,47.98
2013-04-30,149.48,149.74,147.08,149.58,189900,49.86
2013-04-29,150.01,152.57,149.14,150.39,84000,50.13
2013-04-26,151.20,151.22,147.22,149.18,193200,49.73
2013-04-25,153.10,155.00,150.40,151.24,334800,50.41
2013-04-24,150.57,153.27,149.79,152.98,270600,50.99
2013-04-23,147.73,150.30,146.99,150.20,178200,50.07
2013-04-22,146.83,147.26,143.88,146.73,107400,48.91
2013-04-19,144.63,146.66,143.66,146.21,157500,48.74
2013-04-18,143.62,145.89,142.39,144.53,409500,48.18
2013-04-17,144.85,146.24,140.51,143.02,345600,47.67
2013-04-16,142.96,146.77,142.01,145.61,320400,48.54
2013-04-15,147.21,148.00,141.88,142.14,342900,47.38
2013-04-12,147.30,147.86,146.35,147.34,105600,49.11
2013-04-11,147.85,149.06,145.74,147.48,238200,49.16
2013-04-10,145.57,147.78,144.05,147.52,346800,49.17
2013-04-09,147.00,147.34,144.69,145.24,97800,48.41
2013-04-08,147.20,147.84,144.60,146.45,199800,48.82
2013-04-05,147.20,148.59,145.13,147.26,198900,49.09
2013-04-04,148.49,148.71,147.41,148.45,150900,49.48
2013-04-03,150.50,150.79,147.74,148.15,254700,49.38
2013-04-02,151.91,153.16,149.75,149.99,378300,50.00
2013-04-01,152.64,152.72,148.39,150.20,337800,50.07
2013-03-28,151.76,153.50,151.31,152.15,303600,50.72
2013-03-27,148.99,151.21,147.85,150.58,167400,50.19
2013-03-26,149.59,150.91,147.81,150.26,198600,50.09
2013-03-25,152.71,153.28,148.56,148.97,210300,49.66
2013-03-22,152.50,153.34,152.00,152.59,137100,50.86
2013-03-21,151.22,152.50,150.81,151.92,317100,50.64
2013-03-20,148.99,151.79,148.02,151.79,411900,50.60
2013-03-19,149.15,149.92,148.00,148.50,137400,49.50
2013-03-18,148.47,149.99,148.00,148.81,265500,49.60
2013-03-15,149.31,150.86,148.67,149.99,359700,50.00
2013-03-14,149.43,150.95,148.87,149.87,332700,49.96
2013-03-13,150.00,150.89,149.38,149.61,108600,49.87
2013-03-12,150.00,150.61,149.45,149.97,243000,49.99
2013-03-11,149.32,150.55,149.32,150.50,159600,50.17
2013-03-08,150.18,150.93,149.41,150.00,256200,50.00
2013-03-07,149.81,150.20,148.00,148.82,172500,49.61
2013-03-06,150.24,151.09,149.41,149.71,126900,49.90
2013-03-05,151.09,152.36,148.72,149.78,327900,49.93
2013-03-04,149.85,150.20,148.32,150.10,220500,50.03
2013-03-01,147.70,150.96,146.77,150.19,496800,50.06
