Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,105.00,105.00,105.00,105.00,200,102.76
2014-12-30,103.80,103.80,103.80,103.80,000,101.59
2014-12-29,103.80,103.80,103.80,103.80,200,101.59
2014-12-26,102.00,102.00,102.00,102.00,100,99.83
2014-12-24,101.90,101.95,101.90,101.92,400,99.75
2014-12-23,101.95,102.00,101.95,102.00,600,99.83
2014-12-22,101.90,101.91,101.90,101.91,300,99.74
2014-12-19,102.00,102.00,102.00,102.00,500,99.83
2014-12-18,102.00,102.00,102.00,102.00,000,99.83
2014-12-17,102.00,102.00,102.00,102.00,600,99.83
2014-12-16,102.00,102.00,102.00,102.00,000,99.83
2014-12-15,103.00,103.00,102.00,102.00,600,99.83
2014-12-12,104.00,104.00,104.00,104.00,000,101.78
2014-12-11,104.02,104.02,104.00,104.00,800,101.78
2014-12-10,104.04,104.04,104.01,104.01,700,101.79
2014-12-09,104.95,104.95,104.95,104.95,000,102.71
2014-12-08,104.95,104.95,104.95,104.95,300,102.71
2014-12-05,105.00,105.00,104.95,104.95,300,102.71
2014-12-04,105.06,105.06,105.06,105.06,000,102.82
2014-12-03,107.00,107.00,105.00,105.06,500,102.82
2014-12-02,107.49,107.49,106.98,107.00,3600,104.72
2014-12-01,107.50,107.50,107.50,107.50,100,105.21
2014-11-28,107.50,107.50,107.50,107.50,000,105.21
2014-11-26,107.50,107.50,107.50,107.50,100,105.21
2014-11-25,105.00,105.00,105.00,105.00,000,102.76
2014-11-24,105.00,105.00,105.00,105.00,300,102.76
2014-11-21,105.60,105.60,105.50,105.50,500,103.25
2014-11-20,107.08,107.08,107.00,107.00,2100,104.72
2014-11-19,106.80,106.80,106.80,106.80,000,104.52
2014-11-18,106.80,106.80,106.80,106.80,000,104.52
2014-11-17,106.75,125.00,106.75,106.80,700,104.52
2014-11-14,106.50,106.50,106.50,106.50,600,104.23
2014-11-13,106.75,106.75,106.75,106.75,000,104.48
2014-11-12,106.75,106.75,106.75,106.75,000,104.48
2014-11-11,106.75,106.75,106.75,106.75,000,104.48
2014-11-10,106.75,106.75,106.75,106.75,400,104.48
2014-11-07,106.50,106.50,106.50,106.50,300,104.23
2014-11-06,106.50,106.50,106.50,106.50,300,104.23
2014-11-05,106.50,106.50,106.50,106.50,000,104.23
2014-11-04,106.50,106.50,106.50,106.50,400,104.23
2014-11-03,106.50,106.50,106.50,106.50,200,104.23
2014-10-31,105.77,105.77,105.77,105.77,200,103.52
2014-10-30,105.75,105.75,105.75,105.75,300,103.50
2014-10-29,105.45,105.45,105.45,105.45,300,103.20
2014-10-28,103.50,103.50,102.71,102.71,600,100.52
2014-10-27,105.60,105.60,105.60,105.60,000,101.10
2014-10-24,105.60,105.60,105.60,105.60,000,101.10
2014-10-23,105.60,105.60,105.60,105.60,000,101.10
2014-10-22,107.50,107.50,105.60,105.60,1300,101.10
2014-10-21,106.00,106.00,106.00,106.00,000,101.48
2014-10-20,106.00,106.00,106.00,106.00,000,101.48
2014-10-17,106.00,106.00,106.00,106.00,200,101.48
2014-10-16,105.00,105.00,105.00,105.00,200,100.52
2014-10-15,104.00,104.00,104.00,104.00,200,99.57
2014-10-14,105.00,105.00,104.00,104.00,700,99.57
2014-10-13,105.50,105.50,105.50,105.50,000,101.00
2014-10-10,105.50,105.50,105.50,105.50,000,101.00
2014-10-09,105.50,105.50,105.50,105.50,000,101.00
2014-10-08,105.50,105.50,105.50,105.50,000,101.00
2014-10-07,105.50,105.50,105.50,105.50,200,101.00
2014-10-06,106.48,106.48,106.48,106.48,000,101.94
2014-10-03,106.48,106.48,106.48,106.48,000,101.94
2014-10-02,106.48,106.48,106.48,106.48,000,101.94
2014-10-01,106.48,106.48,106.48,106.48,200,101.94
2014-09-30,106.00,106.00,106.00,106.00,000,101.48
2014-09-29,106.00,106.00,106.00,106.00,000,101.48
2014-09-26,106.00,106.00,106.00,106.00,000,101.48
2014-09-25,106.00,106.00,106.00,106.00,000,101.48
2014-09-24,106.00,106.00,106.00,106.00,000,101.48
2014-09-23,106.00,106.00,106.00,106.00,000,101.48
2014-09-22,106.00,106.00,106.00,106.00,400,101.48
2014-09-19,106.00,106.00,106.00,106.00,000,101.48
2014-09-18,106.00,106.00,106.00,106.00,200,101.48
2014-09-17,105.10,106.75,105.10,106.75,300,102.20
2014-09-16,105.25,105.25,105.25,105.25,300,100.76
2014-09-15,105.50,105.50,105.32,105.32,1100,100.83
2014-09-12,106.50,106.50,105.60,105.60,1300,101.10
2014-09-11,106.50,106.50,106.50,106.50,000,101.96
2014-09-10,106.50,106.50,106.50,106.50,000,101.96
2014-09-09,106.50,106.50,106.50,106.50,100,101.96
2014-09-08,106.08,106.08,106.08,106.08,100,101.56
2014-09-05,106.28,106.28,106.28,106.28,000,101.75
2014-09-04,106.28,106.28,106.28,106.28,000,101.75
2014-09-03,106.25,106.28,106.25,106.28,300,101.75
2014-09-02,106.02,106.02,106.02,106.02,000,101.50
2014-08-29,106.02,106.02,106.02,106.02,000,101.50
2014-08-28,106.02,106.02,106.02,106.02,000,101.50
2014-08-27,106.02,106.02,106.02,106.02,000,101.50
2014-08-26,106.02,106.02,106.02,106.02,000,101.50
2014-08-25,106.06,106.06,106.02,106.02,300,101.50
2014-08-22,107.25,107.25,107.25,107.25,000,102.68
2014-08-21,107.25,107.25,107.25,107.25,000,102.68
2014-08-20,107.25,107.25,107.25,107.25,000,102.68
2014-08-19,107.25,107.25,107.25,107.25,000,102.68
2014-08-18,107.25,107.25,107.25,107.25,000,102.68
2014-08-15,107.25,107.25,107.25,107.25,000,102.68
2014-08-14,107.25,107.25,107.22,107.25,700,102.68
2014-08-13,107.25,107.25,107.00,107.00,1200,102.44
2014-08-12,106.26,106.26,106.26,106.26,000,101.73
2014-08-11,106.26,106.26,106.26,106.26,000,101.73
2014-08-08,106.26,106.26,106.26,106.26,000,101.73
2014-08-07,106.26,106.26,106.26,106.26,000,101.73
2014-08-06,106.26,106.26,106.26,106.26,000,101.73
2014-08-05,106.26,106.26,106.26,106.26,000,101.73
2014-08-04,106.04,106.26,106.04,106.26,600,101.73
2014-08-01,108.95,108.95,108.95,108.95,400,104.31
2014-07-31,106.61,106.61,106.61,106.61,300,102.07
2014-07-30,108.01,108.01,106.61,106.61,1700,102.07
2014-07-29,108.00,109.95,108.00,109.95,300,105.26
2014-07-28,106.69,108.74,106.69,108.01,800,103.41
2014-07-25,107.58,109.00,107.58,109.00,700,102.15
2014-07-24,107.75,107.75,107.75,107.75,000,100.98
2014-07-23,107.75,107.75,107.75,107.75,000,100.98
2014-07-22,109.00,109.00,107.75,107.75,2000,100.98
2014-07-21,108.88,109.00,108.88,108.98,500,102.13
2014-07-18,109.00,109.00,109.00,109.00,000,102.15
2014-07-17,109.00,109.00,109.00,109.00,200,102.15
2014-07-16,107.50,107.50,107.50,107.50,000,100.75
2014-07-15,106.21,107.75,106.21,107.50,1400,100.75
2014-07-14,108.00,108.00,106.08,106.08,400,99.42
2014-07-11,107.68,107.75,107.68,107.75,400,100.98
2014-07-10,105.75,105.75,105.75,105.75,000,99.11
