Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,5.68,5.68,5.68,5.68,500,5.68
2014-12-30,6.24,6.24,6.24,6.24,000,6.24
2014-12-29,5.70,5.70,5.68,5.70,4500,5.70
2014-12-26,5.75,5.75,5.75,5.75,000,5.75
2014-12-24,5.50,5.50,5.50,5.50,000,5.50
2014-12-23,5.70,5.79,5.57,5.75,1500,5.75
2014-12-22,5.82,5.82,5.82,5.82,200,5.82
2014-12-19,5.80,5.95,5.80,5.95,500,5.95
2014-12-18,5.79,5.86,5.72,5.82,3100,5.82
2014-12-17,5.71,5.80,5.71,5.79,2200,5.79
2014-12-16,5.98,5.98,5.98,5.98,000,5.98
2014-12-15,6.00,6.00,5.95,5.98,2400,5.98
2014-12-12,5.78,5.99,5.74,5.99,3500,5.99
2014-12-11,5.78,5.96,5.71,5.71,2200,5.71
2014-12-10,5.77,5.77,5.75,5.77,2500,5.77
2014-12-09,5.83,5.83,5.70,5.73,1600,5.73
2014-12-08,5.82,5.82,5.82,5.82,300,5.82
2014-12-05,6.18,6.18,6.04,6.04,700,6.04
2014-12-04,6.16,6.16,6.16,6.16,100,6.16
2014-12-03,6.18,6.19,6.18,6.18,400,6.18
2014-12-02,6.18,6.18,6.18,6.18,100,6.18
2014-12-01,6.36,6.36,6.02,6.09,9300,6.09
2014-11-28,6.36,6.36,6.25,6.26,1500,6.26
2014-11-26,6.47,6.47,6.34,6.35,2200,6.35
2014-11-25,6.46,6.47,6.46,6.47,2100,6.47
2014-11-24,6.45,6.47,6.35,6.35,700,6.35
2014-11-21,6.47,6.47,6.47,6.47,200,6.47
2014-11-20,6.35,6.44,6.35,6.44,3500,6.44
2014-11-19,6.37,6.50,6.35,6.49,1700,6.49
2014-11-18,6.51,6.72,6.51,6.72,500,6.72
2014-11-17,6.80,6.80,6.80,6.80,400,6.80
2014-11-14,6.75,6.75,6.37,6.48,6100,6.48
2014-11-13,6.66,6.68,6.31,6.68,600,6.68
2014-11-12,6.42,6.55,6.42,6.42,6700,6.42
2014-11-11,6.52,6.52,6.33,6.42,1300,6.42
2014-11-10,6.63,6.64,6.31,6.38,17800,6.38
2014-11-07,6.35,6.45,6.25,6.35,7500,6.35
2014-11-06,5.65,6.25,5.65,6.25,38200,6.25
2014-11-05,5.47,5.65,5.39,5.65,8900,5.65
2014-11-04,5.55,5.55,5.30,5.44,5600,5.44
2014-11-03,5.40,5.55,5.39,5.55,8300,5.55
2014-10-31,5.59,5.59,5.28,5.30,1300,5.30
2014-10-30,5.48,5.48,5.34,5.43,3800,5.43
2014-10-29,5.51,5.51,5.50,5.50,600,5.50
2014-10-28,5.50,5.60,5.50,5.51,4400,5.51
2014-10-27,5.60,5.60,5.55,5.58,3800,5.58
2014-10-24,5.60,5.60,5.60,5.60,100,5.60
2014-10-23,5.60,5.60,5.60,5.60,300,5.60
2014-10-22,5.60,5.60,5.50,5.50,1100,5.50
2014-10-21,5.50,5.50,5.47,5.50,1700,5.50
2014-10-20,5.28,5.61,5.28,5.61,2000,5.61
2014-10-17,5.28,5.61,5.28,5.45,1000,5.45
2014-10-16,5.28,5.28,5.17,5.28,1200,5.28
2014-10-15,5.28,5.28,5.15,5.28,2800,5.28
2014-10-14,5.21,5.24,5.20,5.24,3900,5.24
2014-10-13,5.25,5.25,5.16,5.19,3800,5.19
2014-10-10,5.25,5.25,5.20,5.25,13000,5.25
2014-10-09,5.25,5.28,5.19,5.28,19600,5.28
2014-10-08,5.25,5.25,5.12,5.25,6000,5.25
2014-10-07,5.24,5.28,5.24,5.25,5700,5.25
2014-10-06,5.25,5.25,5.20,5.20,400,5.20
2014-10-03,5.11,5.25,5.11,5.20,16800,5.20
2014-10-02,5.18,5.20,5.06,5.06,1800,5.06
2014-10-01,5.19,5.20,5.07,5.20,3300,5.20
2014-09-30,5.07,5.07,5.07,5.07,1000,5.07
2014-09-29,5.10,5.15,5.05,5.05,2600,5.05
2014-09-26,5.06,5.15,5.05,5.15,2900,5.15
2014-09-25,5.15,5.15,5.15,5.15,000,5.15
2014-09-24,4.93,5.20,4.93,5.15,800,5.15
2014-09-23,5.22,5.22,5.22,5.22,000,5.22
2014-09-22,5.22,5.23,5.22,5.22,300,5.22
2014-09-19,5.18,5.24,5.18,5.24,7500,5.24
2014-09-18,5.25,5.25,5.25,5.25,000,5.25
2014-09-17,5.20,5.25,5.16,5.25,3400,5.25
2014-09-16,5.26,5.26,5.26,5.26,000,5.26
2014-09-15,5.26,5.26,5.26,5.26,000,5.26
2014-09-12,5.25,5.28,5.25,5.26,900,5.26
2014-09-11,5.14,5.25,5.13,5.25,12800,5.25
2014-09-10,5.06,5.06,5.06,5.06,300,5.06
2014-09-09,5.00,5.13,5.00,5.13,3800,5.13
2014-09-08,5.10,5.11,5.01,5.07,4700,5.07
2014-09-05,5.10,5.15,5.10,5.14,3800,5.14
2014-09-04,5.08,5.08,5.07,5.07,1100,5.07
2014-09-03,5.04,5.07,5.04,5.07,1300,5.07
2014-09-02,5.01,5.09,5.01,5.01,2500,5.01
2014-08-29,5.00,5.03,5.00,5.03,2200,5.03
2014-08-28,5.00,5.00,5.00,5.00,700,5.00
2014-08-27,5.05,5.09,5.05,5.09,2300,5.09
2014-08-26,5.00,5.04,4.93,5.04,2000,5.04
2014-08-25,5.08,5.08,5.08,5.08,100,5.08
2014-08-22,5.09,5.09,5.03,5.03,300,5.03
2014-08-21,5.04,5.04,4.90,4.90,2600,4.90
2014-08-20,4.96,5.00,4.90,4.93,6100,4.93
2014-08-19,4.96,4.97,4.96,4.97,1400,4.97
2014-08-18,5.00,5.00,4.99,4.99,1800,4.99
2014-08-15,4.90,4.96,4.88,4.96,6300,4.96
2014-08-14,4.91,4.91,4.74,4.85,3500,4.85
2014-08-13,4.92,4.92,4.90,4.90,1000,4.90
2014-08-12,5.00,5.00,4.90,4.99,26500,4.99
2014-08-11,5.00,5.10,5.00,5.02,30600,5.02
2014-08-08,4.88,5.01,4.88,5.00,11000,5.00
2014-08-07,4.88,4.88,4.82,4.84,400,4.84
2014-08-06,4.85,4.86,4.85,4.85,500,4.85
2014-08-05,4.75,4.75,4.75,4.75,200,4.75
2014-08-04,4.74,4.94,4.74,4.94,5300,4.94
2014-08-01,4.77,4.82,4.74,4.75,13000,4.75
2014-07-31,4.78,4.78,4.78,4.78,000,4.78
2014-07-30,4.78,4.78,4.78,4.78,1200,4.78
2014-07-29,4.82,4.87,4.79,4.79,5600,4.79
2014-07-28,4.75,4.95,4.75,4.85,4500,4.85
2014-07-25,4.78,4.92,4.76,4.76,10900,4.76
2014-07-24,4.80,4.94,4.75,4.77,25100,4.77
2014-07-23,4.99,4.99,4.73,4.90,63900,4.90
2014-07-22,4.72,4.91,4.72,4.88,1900,4.88
2014-07-21,5.00,5.07,4.78,4.78,3500,4.78
2014-07-18,4.72,5.07,4.72,4.98,15200,4.98
2014-07-17,4.70,4.72,4.70,4.72,3100,4.72
2014-07-16,4.74,4.87,4.70,4.71,1300,4.71
2014-07-15,4.87,4.87,4.71,4.71,5100,4.71
2014-07-14,4.68,4.83,4.68,4.75,2000,4.75
2014-07-11,4.68,4.83,4.68,4.83,5400,4.83
2014-07-10,4.68,4.79,4.68,4.79,1600,4.79
2014-07-09,4.69,4.69,4.69,4.69,100,4.69
2014-07-08,4.81,4.83,4.81,4.83,900,4.83
2014-07-07,4.68,4.88,4.67,4.88,2300,4.88
2014-07-03,4.85,4.85,4.85,4.85,100,4.85
2014-07-02,4.76,4.85,4.76,4.85,1200,4.85
2014-07-01,4.77,5.30,4.75,4.76,36100,4.76
2014-06-30,4.89,4.94,4.66,4.66,700,4.66
2014-06-27,4.60,4.60,4.60,4.60,000,4.60
2014-06-26,4.60,4.60,4.60,4.60,000,4.60
2014-06-25,4.52,4.60,4.50,4.60,1100,4.60
2014-06-24,4.51,4.51,4.51,4.51,500,4.51
2014-06-23,4.57,4.57,4.38,4.41,2700,4.41
2014-06-20,4.76,4.76,4.63,4.63,300,4.63
2014-06-19,4.37,4.78,4.32,4.78,5800,4.78
2014-06-18,4.37,4.50,4.37,4.50,5000,4.50
2014-06-17,4.60,4.60,3.93,4.31,14600,4.31
2014-06-16,4.65,4.65,4.63,4.63,900,4.63
2014-06-13,4.73,4.73,4.73,4.73,300,4.73
2014-06-12,4.71,4.81,4.70,4.81,2000,4.81
2014-06-11,4.70,4.71,4.62,4.66,3800,4.66
2014-06-10,4.71,4.75,4.71,4.74,600,4.74
2014-06-09,4.73,4.73,4.73,4.73,000,4.73
2014-06-06,4.73,4.73,4.73,4.73,200,4.73
2014-06-05,4.70,4.82,4.70,4.72,1300,4.72
2014-06-04,4.68,4.70,4.68,4.70,1500,4.70
2014-06-03,4.70,4.70,4.68,4.69,800,4.69
2014-06-02,4.67,4.78,4.67,4.78,3700,4.78
2014-05-30,4.70,4.70,4.70,4.70,000,4.70
2014-05-29,4.70,4.70,4.70,4.70,000,4.70
2014-05-28,4.75,4.76,4.70,4.70,9900,4.70
2014-05-27,4.59,4.75,4.59,4.75,600,4.75
2014-05-23,4.73,4.74,4.61,4.74,2500,4.74
2014-05-22,4.57,4.73,4.57,4.73,1400,4.73
2014-05-21,4.75,4.76,4.57,4.59,14500,4.59
2014-05-20,4.55,4.74,4.55,4.65,7200,4.65
2014-05-19,4.78,4.78,4.53,4.76,8100,4.76
2014-05-16,4.89,4.89,4.75,4.84,3100,4.84
2014-05-15,4.90,4.90,4.90,4.90,000,4.90
2014-05-14,4.90,4.90,4.90,4.90,000,4.90
2014-05-13,5.00,5.00,4.90,4.90,8600,4.90
2014-05-12,5.01,5.01,5.00,5.00,1000,5.00
2014-05-09,5.04,5.05,4.91,5.04,500,5.04
2014-05-08,4.90,5.16,4.90,5.16,800,5.16
2014-05-07,5.00,5.08,4.95,5.08,8100,5.08
2014-05-06,5.00,5.00,5.00,5.00,000,5.00
2014-05-05,5.00,5.00,4.98,5.00,1300,5.00
2014-05-02,4.96,4.99,4.95,4.98,7300,4.98
2014-05-01,5.00,5.01,4.98,4.98,2000,4.98
2014-04-30,5.05,5.05,5.03,5.03,8200,5.03
