Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,1.66,1.84,1.65,1.66,33600,1.66
2014-12-30,1.65,1.69,1.65,1.66,6200,1.66
2014-12-29,1.64,1.66,1.64,1.66,1200,1.66
2014-12-26,1.66,1.68,1.66,1.66,400,1.66
2014-12-24,1.66,1.70,1.65,1.69,5800,1.69
2014-12-23,1.66,1.74,1.65,1.66,10700,1.66
2014-12-22,1.74,1.75,1.67,1.67,2200,1.67
2014-12-19,1.54,1.66,1.54,1.65,26600,1.65
2014-12-18,1.60,1.60,1.52,1.53,11100,1.53
2014-12-17,1.60,1.61,1.60,1.61,1000,1.61
2014-12-16,1.59,1.60,1.51,1.54,22800,1.54
2014-12-15,1.57,1.65,1.52,1.57,23700,1.57
2014-12-12,1.64,1.67,1.52,1.59,28300,1.59
2014-12-11,1.61,1.62,1.61,1.62,5600,1.62
2014-12-10,1.65,1.70,1.65,1.66,7000,1.66
2014-12-09,1.61,1.65,1.60,1.65,22600,1.65
2014-12-08,1.61,1.69,1.61,1.65,5700,1.65
2014-12-05,1.66,1.72,1.66,1.69,12500,1.69
2014-12-04,1.67,1.70,1.61,1.65,26300,1.65
2014-12-03,1.70,1.75,1.62,1.69,2400,1.69
2014-12-02,1.70,1.70,1.70,1.70,000,1.70
2014-12-01,1.70,1.76,1.67,1.70,18700,1.70
2014-11-28,1.80,1.80,1.80,1.80,000,1.80
2014-11-26,1.74,1.81,1.74,1.80,1700,1.80
2014-11-25,1.72,1.72,1.72,1.72,000,1.72
2014-11-24,1.77,1.77,1.70,1.72,8300,1.72
2014-11-21,1.86,1.86,1.70,1.76,19200,1.76
2014-11-20,1.84,1.87,1.79,1.79,500,1.79
2014-11-19,1.85,1.85,1.85,1.85,000,1.85
2014-11-18,1.72,1.86,1.71,1.85,1000,1.85
2014-11-17,1.74,1.89,1.74,1.82,2300,1.82
2014-11-14,1.77,1.89,1.74,1.76,7200,1.76
2014-11-13,1.85,1.96,1.75,1.75,54400,1.75
2014-11-12,1.80,1.94,1.80,1.81,15300,1.81
2014-11-11,1.70,1.94,1.70,1.85,38900,1.85
2014-11-10,1.66,2.10,1.66,1.78,45700,1.78
2014-11-07,1.47,1.64,1.47,1.63,178800,1.63
2014-11-06,1.52,1.57,1.51,1.51,28200,1.51
2014-11-05,1.56,1.56,1.51,1.51,18100,1.51
2014-11-04,1.51,1.56,1.50,1.52,67600,1.52
2014-11-03,1.57,1.65,1.49,1.50,3900,1.50
2014-10-31,1.47,1.55,1.47,1.53,18000,1.53
2014-10-30,1.49,1.53,1.49,1.51,12100,1.51
2014-10-29,1.64,1.64,1.48,1.51,15700,1.51
2014-10-28,1.47,1.50,1.47,1.50,23500,1.50
2014-10-27,1.48,1.48,1.48,1.48,700,1.48
2014-10-24,1.40,1.51,1.40,1.47,42100,1.47
2014-10-23,1.43,1.46,1.40,1.45,18000,1.45
2014-10-22,1.40,1.47,1.40,1.45,10600,1.45
2014-10-21,1.47,1.47,1.46,1.46,1000,1.46
2014-10-20,1.43,1.44,1.43,1.44,1000,1.44
2014-10-17,1.50,1.54,1.41,1.47,49300,1.47
2014-10-16,1.48,1.48,1.48,1.48,000,1.48
2014-10-15,1.49,1.50,1.41,1.48,23400,1.48
2014-10-14,1.55,1.59,1.48,1.48,8400,1.48
2014-10-13,1.55,1.55,1.46,1.53,1200,1.53
2014-10-10,1.58,1.58,1.49,1.56,1400,1.56
2014-10-09,1.65,1.65,1.51,1.55,5900,1.55
2014-10-08,1.62,1.62,1.60,1.61,3000,1.61
2014-10-07,1.60,1.72,1.59,1.60,6500,1.60
2014-10-06,1.56,1.65,1.55,1.63,8200,1.63
2014-10-03,1.61,1.61,1.61,1.61,000,1.61
2014-10-02,1.68,1.68,1.56,1.61,4500,1.61
2014-10-01,1.55,1.57,1.55,1.57,14700,1.57
2014-09-30,1.49,1.55,1.49,1.52,1200,1.52
2014-09-29,1.49,1.54,1.49,1.54,2300,1.54
2014-09-26,1.49,1.63,1.43,1.52,15100,1.52
2014-09-25,1.49,1.56,1.45,1.54,4400,1.54
2014-09-24,1.41,1.54,1.41,1.53,29600,1.53
2014-09-23,1.46,1.50,1.45,1.48,10300,1.48
2014-09-22,1.41,1.50,1.36,1.48,105400,1.48
2014-09-19,1.45,1.48,1.36,1.45,74400,1.45
2014-09-18,1.49,1.49,1.46,1.46,25700,1.46
2014-09-17,1.54,1.56,1.29,1.50,63200,1.50
2014-09-16,1.59,1.64,1.56,1.57,16400,1.57
2014-09-15,1.52,1.59,1.50,1.55,8600,1.55
2014-09-12,1.55,1.58,1.55,1.56,7500,1.56
2014-09-11,1.50,1.61,1.50,1.56,31200,1.56
2014-09-10,1.53,1.57,1.52,1.52,11600,1.52
2014-09-09,1.60,1.61,1.55,1.58,14500,1.58
2014-09-08,1.56,1.60,1.54,1.59,29500,1.59
2014-09-05,1.56,1.64,1.56,1.62,5300,1.62
2014-09-04,1.65,1.65,1.55,1.56,107800,1.56
2014-09-03,1.65,1.67,1.60,1.65,21100,1.65
2014-09-02,1.61,1.66,1.61,1.62,8900,1.62
2014-08-29,1.64,1.66,1.62,1.66,13000,1.66
2014-08-28,1.56,1.68,1.56,1.68,3200,1.68
2014-08-27,1.65,1.66,1.63,1.65,15600,1.65
2014-08-26,1.66,1.68,1.65,1.65,27100,1.65
2014-08-25,1.62,1.67,1.56,1.66,37500,1.66
2014-08-22,1.69,1.69,1.60,1.62,9300,1.62
2014-08-21,1.67,1.76,1.66,1.68,55900,1.68
2014-08-20,1.78,1.79,1.68,1.69,7200,1.69
2014-08-19,1.85,1.85,1.77,1.77,2700,1.77
2014-08-18,1.79,1.86,1.78,1.78,3800,1.78
2014-08-15,1.76,1.89,1.76,1.86,13700,1.86
2014-08-14,1.82,1.86,1.73,1.80,8500,1.80
2014-08-13,1.80,1.87,1.80,1.83,3200,1.83
2014-08-12,1.91,1.93,1.81,1.82,8800,1.82
2014-08-11,1.78,1.87,1.75,1.84,23700,1.84
2014-08-08,1.79,1.97,1.79,1.84,14600,1.84
2014-08-07,1.94,1.97,1.78,1.79,80400,1.79
2014-08-06,1.97,1.97,1.96,1.96,300,1.96
2014-08-05,1.91,1.95,1.85,1.92,23000,1.92
2014-08-04,2.00,2.25,1.84,1.92,7800,1.92
2014-08-01,1.98,1.99,1.93,1.94,1400,1.94
2014-07-31,1.87,1.98,1.86,1.95,23400,1.95
2014-07-30,1.85,1.85,1.84,1.85,3400,1.85
2014-07-29,1.88,1.88,1.79,1.84,24700,1.84
2014-07-28,1.85,1.88,1.80,1.85,11300,1.85
2014-07-25,1.98,1.98,1.80,1.88,20000,1.88
2014-07-24,1.93,2.00,1.85,1.92,9700,1.92
2014-07-23,1.84,1.96,1.83,1.95,135900,1.95
2014-07-22,1.83,1.88,1.80,1.84,68700,1.84
2014-07-21,1.89,1.93,1.83,1.84,94900,1.84
2014-07-18,1.94,1.97,1.78,1.87,29300,1.87
2014-07-17,1.96,1.96,1.92,1.96,3500,1.96
2014-07-16,1.86,1.97,1.86,1.97,21600,1.97
2014-07-15,2.05,2.05,1.81,1.89,111400,1.89
2014-07-14,2.00,2.06,1.99,2.05,25500,2.05
2014-07-11,1.99,2.08,1.99,2.07,53100,2.07
2014-07-10,1.96,2.07,1.96,2.00,8600,2.00
2014-07-09,2.09,2.09,2.02,2.02,3800,2.02
2014-07-08,2.05,2.09,2.00,2.03,7200,2.03
2014-07-07,2.11,2.11,2.04,2.04,10400,2.04
2014-07-03,2.09,2.15,2.09,2.14,10800,2.14
2014-07-02,2.12,2.15,2.10,2.10,10700,2.10
2014-07-01,2.13,2.22,2.06,2.07,6200,2.07
2014-06-30,2.14,2.20,2.09,2.18,14500,2.18
2014-06-27,2.15,2.24,2.08,2.24,13900,2.24
2014-06-26,2.10,2.21,1.94,2.12,54600,2.12
2014-06-25,1.98,2.08,1.98,2.07,7300,2.07
2014-06-24,1.95,2.05,1.95,2.05,7000,2.05
2014-06-23,2.08,2.08,1.91,2.00,40300,2.00
2014-06-20,2.07,2.07,1.97,2.04,28800,2.04
2014-06-19,2.00,2.10,1.97,2.02,6000,2.02
2014-06-18,1.98,2.03,1.98,2.00,5300,2.00
2014-06-17,2.05,2.17,2.00,2.01,13500,2.01
2014-06-16,2.02,2.08,2.02,2.05,16100,2.05
