Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,4.34,4.34,4.16,4.18,9300,4.18
2014-12-30,4.37,4.37,4.26,4.27,9700,4.27
2014-12-29,4.42,4.50,4.28,4.43,42100,4.43
2014-12-26,4.31,4.40,4.31,4.32,3000,4.32
2014-12-24,4.26,4.32,4.26,4.31,6900,4.31
2014-12-23,4.29,4.36,4.27,4.33,4100,4.33
2014-12-22,4.33,4.35,4.24,4.26,25700,4.26
2014-12-19,4.31,4.45,4.31,4.35,5200,4.35
2014-12-18,4.33,4.36,4.22,4.22,6500,4.22
2014-12-17,4.30,4.41,4.26,4.27,5700,4.27
2014-12-16,4.47,4.47,4.20,4.20,15800,4.20
2014-12-15,4.50,4.57,4.39,4.45,12900,4.45
2014-12-12,4.57,4.57,4.41,4.47,11800,4.47
2014-12-11,4.55,4.57,4.51,4.54,11100,4.54
2014-12-10,4.62,4.66,4.52,4.61,16400,4.61
2014-12-09,4.61,4.65,4.58,4.65,3500,4.65
2014-12-08,4.65,4.66,4.55,4.55,9000,4.55
2014-12-05,4.70,4.70,4.58,4.65,11500,4.65
2014-12-04,4.70,4.84,4.60,4.60,12700,4.60
2014-12-03,4.59,4.76,4.57,4.70,11500,4.70
2014-12-02,4.56,4.61,4.49,4.54,24600,4.54
2014-12-01,4.56,4.60,4.55,4.56,27600,4.56
2014-11-28,4.66,4.73,4.52,4.52,5900,4.52
2014-11-26,4.79,4.79,4.75,4.75,6900,4.75
2014-11-25,4.74,4.79,4.74,4.76,15700,4.76
2014-11-24,4.70,4.76,4.69,4.70,6400,4.70
2014-11-21,4.65,4.67,4.63,4.66,2800,4.66
2014-11-20,4.63,4.65,4.60,4.62,4300,4.62
2014-11-19,4.65,4.65,4.61,4.63,4500,4.63
2014-11-18,4.61,4.61,4.59,4.61,3300,4.61
2014-11-17,4.63,4.64,4.60,4.64,6400,4.64
2014-11-14,4.63,4.64,4.61,4.61,2100,4.61
2014-11-13,4.60,4.61,4.58,4.61,3100,4.61
2014-11-12,4.65,4.68,4.58,4.58,11100,4.58
2014-11-11,4.62,4.65,4.60,4.65,13500,4.65
2014-11-10,4.72,4.78,4.62,4.65,7400,4.65
2014-11-07,4.68,4.72,4.60,4.66,5300,4.66
2014-11-06,4.63,4.70,4.63,4.66,14700,4.66
2014-11-05,4.67,4.67,4.61,4.65,8800,4.65
2014-11-04,4.60,4.65,4.58,4.65,9500,4.65
2014-11-03,4.68,4.69,4.66,4.66,6400,4.66
2014-10-31,4.69,4.71,4.65,4.69,5700,4.69
2014-10-30,4.73,4.76,4.71,4.74,4900,4.74
2014-10-29,4.84,4.84,4.77,4.82,6200,4.82
2014-10-28,4.74,4.76,4.74,4.75,2200,4.75
2014-10-27,4.72,4.83,4.71,4.73,4600,4.73
2014-10-24,4.74,4.74,4.63,4.67,4000,4.67
2014-10-23,4.71,4.74,4.71,4.73,1400,4.73
2014-10-22,4.80,4.80,4.69,4.70,13200,4.70
2014-10-21,4.66,4.80,4.66,4.77,12700,4.77
2014-10-20,4.76,4.76,4.65,4.66,18300,4.66
2014-10-17,4.72,4.74,4.60,4.63,7600,4.63
2014-10-16,4.63,4.78,4.62,4.75,15900,4.75
2014-10-15,4.67,4.72,4.65,4.69,9400,4.69
2014-10-14,4.63,4.75,4.57,4.64,5700,4.64
2014-10-13,4.68,4.77,4.58,4.71,1200,4.71
2014-10-10,4.72,4.72,4.55,4.60,82500,4.60
2014-10-09,4.76,4.86,4.68,4.71,13200,4.71
2014-10-08,4.85,4.85,4.68,4.80,17400,4.80
2014-10-07,4.85,4.85,4.62,4.79,9100,4.79
2014-10-06,4.91,4.93,4.85,4.85,7500,4.85
2014-10-03,4.94,5.26,4.85,4.85,15100,4.85
2014-10-02,4.90,5.00,4.90,4.94,18900,4.94
2014-10-01,4.91,4.91,4.51,4.84,89600,4.84
2014-09-30,5.06,5.08,4.98,4.99,6600,4.99
2014-09-29,5.07,5.11,5.03,5.05,1700,5.05
2014-09-26,5.15,5.20,5.06,5.08,5000,5.08
2014-09-25,5.17,5.22,5.15,5.15,8300,5.15
2014-09-24,5.11,5.23,5.11,5.21,2900,5.21
2014-09-23,5.12,5.15,5.10,5.14,3100,5.14
2014-09-22,5.10,5.10,5.04,5.09,4000,5.09
2014-09-19,5.11,5.11,5.05,5.07,1800,5.07
2014-09-18,5.12,5.13,5.06,5.11,2400,5.11
2014-09-17,5.14,5.16,5.03,5.04,17200,5.04
2014-09-16,5.03,5.10,5.02,5.07,11500,5.07
2014-09-15,5.03,5.06,5.02,5.06,900,5.06
2014-09-12,5.08,5.08,4.98,5.04,2300,5.04
2014-09-11,5.13,5.14,5.04,5.09,13500,5.09
2014-09-10,5.16,5.50,5.09,5.11,14700,5.11
2014-09-09,4.99,5.16,4.57,5.13,41400,5.13
2014-09-08,5.11,5.11,5.01,5.04,31300,5.04
