Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,54.98,55.25,54.26,54.33,371400,54.33
2014-12-30,55.25,55.68,54.74,54.99,25600,54.99
2014-12-29,55.16,56.07,55.04,55.37,320900,55.37
2014-12-26,55.38,55.85,55.14,55.30,138500,55.30
2014-12-24,55.45,55.77,54.87,55.36,139800,55.36
2014-12-23,54.85,55.80,54.43,55.46,490300,55.46
2014-12-22,53.76,54.49,53.41,54.45,464100,54.45
2014-12-19,53.80,54.47,53.54,53.89,1189800,53.89
2014-12-18,53.45,54.59,52.88,54.10,1144500,54.10
2014-12-17,52.59,53.20,51.94,52.72,1237200,52.72
2014-12-16,52.25,53.46,52.08,52.50,692300,52.50
2014-12-15,53.29,53.81,51.76,52.51,739000,52.51
2014-12-12,53.41,54.00,52.42,52.84,1020500,52.84
2014-12-11,54.12,54.99,53.99,54.08,818600,54.08
2014-12-10,55.76,56.20,53.79,54.04,723300,54.04
2014-12-09,55.05,56.19,53.76,56.16,1220700,56.16
2014-12-08,55.46,55.98,54.26,54.44,476200,54.44
2014-12-05,55.29,56.25,55.29,55.61,895000,55.61
2014-12-04,55.23,55.40,54.56,54.95,410800,54.95
2014-12-03,54.68,55.40,54.20,55.27,445600,55.27
2014-12-02,53.41,54.97,53.41,54.55,595000,54.55
2014-12-01,54.69,55.30,52.24,53.14,1330500,53.14
2014-11-28,57.77,57.98,55.03,55.13,484300,55.13
2014-11-26,58.09,58.30,57.93,58.15,220600,58.15
2014-11-25,58.03,58.45,57.78,58.24,252200,58.24
2014-11-24,57.13,58.19,56.77,58.06,501000,58.06
2014-11-21,58.32,58.41,56.79,57.16,948800,57.16
2014-11-20,57.47,58.37,57.07,58.30,619800,58.30
2014-11-19,58.43,58.58,57.33,57.83,548300,57.83
2014-11-18,58.75,59.24,58.53,58.59,485300,58.59
2014-11-17,58.87,59.04,58.28,58.69,307200,58.69
2014-11-14,59.48,59.65,58.94,59.14,556900,59.14
2014-11-13,59.55,60.00,58.65,59.31,2549400,59.31
2014-11-12,60.75,61.89,60.52,61.74,389900,61.74
2014-11-11,61.70,61.85,60.55,60.97,309600,60.97
2014-11-10,61.80,62.05,61.21,61.60,504900,61.60
2014-11-07,61.26,62.07,60.56,61.57,408800,61.57
2014-11-06,60.30,61.42,60.30,61.35,308200,61.35
2014-11-05,59.80,60.40,59.44,60.30,367900,60.30
2014-11-04,59.65,59.99,58.87,59.31,505100,59.31
2014-11-03,61.24,61.58,59.59,60.00,642300,60.00
2014-10-31,61.69,61.70,61.01,61.15,398700,61.15
2014-10-30,59.89,60.87,59.32,60.75,341100,60.75
2014-10-29,59.83,60.02,58.88,59.96,258500,59.96
2014-10-28,57.95,59.82,57.46,59.71,431100,59.71
2014-10-27,56.64,57.56,56.22,57.52,239700,57.52
2014-10-24,57.47,57.47,56.75,57.04,361300,57.04
2014-10-23,60.48,60.48,56.95,57.30,711700,57.30
2014-10-22,56.74,57.73,56.14,56.22,546700,56.22
2014-10-21,54.91,57.13,54.91,56.93,604900,56.93
2014-10-20,54.41,55.12,54.16,54.68,343700,54.68
2014-10-17,55.00,55.31,54.29,54.69,617200,54.69
2014-10-16,52.26,54.31,51.83,54.12,558800,54.12
2014-10-15,54.25,54.51,51.58,52.57,1206900,52.57
2014-10-14,55.45,55.83,54.55,55.06,884800,55.06
2014-10-13,55.32,55.88,54.87,55.19,373000,55.19
2014-10-10,55.88,56.85,55.07,55.22,809400,55.22
2014-10-09,57.21,57.46,55.83,56.21,1328900,56.21
2014-10-08,56.57,57.30,56.26,57.19,548000,57.19
2014-10-07,56.69,57.29,56.01,56.56,589500,56.56
2014-10-06,57.96,57.97,56.71,57.12,345600,57.12
2014-10-03,58.14,59.25,57.80,57.87,498700,57.87
2014-10-02,57.16,57.87,56.66,57.56,492500,57.56
2014-10-01,57.80,58.11,56.34,57.14,755600,57.14
2014-09-30,57.31,58.21,56.90,57.68,617500,57.68
2014-09-29,56.30,57.07,55.93,57.06,325900,57.06
2014-09-26,56.88,57.11,56.22,56.88,202300,56.88
2014-09-25,57.80,58.07,56.52,56.85,241700,56.85
2014-09-24,57.76,58.09,57.14,57.99,388500,57.99
2014-09-23,58.14,58.53,57.70,57.72,519500,57.72
2014-09-22,57.99,58.54,57.65,58.10,470700,58.10
2014-09-19,59.32,60.74,58.13,58.19,1485500,58.19
2014-09-18,56.17,58.46,56.00,58.23,818700,58.23
2014-09-17,55.38,56.64,55.17,55.88,239500,55.88
2014-09-16,55.95,56.30,55.23,55.50,279600,55.50
2014-09-15,56.77,56.80,56.01,56.24,267200,56.24
2014-09-12,56.72,57.12,56.33,56.89,397400,56.89
2014-09-11,55.59,57.00,55.22,56.62,302500,56.62
2014-09-10,55.00,56.09,54.93,55.84,306000,55.84
2014-09-09,55.26,55.27,54.59,54.93,422200,54.93
2014-09-08,54.88,55.43,54.77,55.37,243500,55.37
2014-09-05,54.54,54.92,54.14,54.79,290500,54.79
2014-09-04,55.52,55.84,54.62,54.80,222500,54.80
2014-09-03,55.13,55.41,54.90,55.23,397600,55.23
2014-09-02,54.25,55.06,54.19,54.86,244000,54.86
2014-08-29,54.01,54.39,53.49,53.98,216500,53.98
2014-08-28,54.28,54.29,53.77,53.89,291500,53.89
2014-08-27,56.23,56.23,54.61,54.62,283100,54.62
2014-08-26,54.49,55.17,54.36,55.10,166000,55.10
2014-08-25,54.60,54.60,54.01,54.28,195300,54.28
2014-08-22,53.96,54.67,53.79,54.28,310800,54.28
2014-08-21,53.10,54.39,52.69,53.98,269900,53.98
