Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,2.56,2.69,2.50,2.50,232400,2.50
2014-12-30,2.68,2.68,2.68,2.68,000,2.68
2014-12-29,2.70,2.77,2.65,2.66,130300,2.66
2014-12-26,2.75,2.84,2.68,2.76,168900,2.76
2014-12-24,2.60,2.75,2.59,2.74,278200,2.74
2014-12-23,2.55,2.65,2.54,2.58,193800,2.58
2014-12-22,2.57,2.62,2.55,2.56,150100,2.56
2014-12-19,2.55,2.69,2.50,2.56,254200,2.56
2014-12-18,2.53,2.68,2.51,2.52,249800,2.52
2014-12-17,2.57,2.64,2.43,2.58,337300,2.58
2014-12-16,2.43,2.57,2.43,2.51,522100,2.51
2014-12-15,2.59,2.65,2.35,2.44,500100,2.44
2014-12-12,2.51,2.67,2.46,2.60,620600,2.60
2014-12-11,2.68,2.74,2.50,2.50,482200,2.50
2014-12-10,2.78,2.87,2.61,2.65,534300,2.65
2014-12-09,2.76,2.94,2.68,2.77,977600,2.77
2014-12-08,3.01,3.10,2.72,2.80,1786300,2.80
2014-12-05,3.50,3.80,2.88,2.94,10591900,2.94
2014-12-04,2.38,3.86,2.32,3.69,18849000,3.69
2014-12-03,2.44,2.48,2.32,2.38,105300,2.38
2014-12-02,2.37,2.51,2.35,2.44,218400,2.44
2014-12-01,2.43,2.44,2.28,2.34,298100,2.34
2014-11-28,2.92,2.94,2.40,2.43,610300,2.43
2014-11-26,2.71,2.93,2.67,2.86,386600,2.86
2014-11-25,2.81,2.84,2.65,2.73,147800,2.73
2014-11-24,2.69,2.84,2.61,2.77,309800,2.77
2014-11-21,2.55,2.71,2.50,2.64,417900,2.64
2014-11-20,2.50,2.74,2.47,2.54,573200,2.54
2014-11-19,2.55,2.62,2.44,2.49,281200,2.49
2014-11-18,2.34,2.60,2.34,2.54,501900,2.54
2014-11-17,2.47,2.55,2.30,2.30,795500,2.30
2014-11-14,2.65,2.81,2.51,2.55,396800,2.55
2014-11-13,3.08,3.08,2.60,2.74,996500,2.74
2014-11-12,3.28,3.70,2.80,2.85,8337600,2.85
2014-11-11,2.67,3.25,2.66,3.13,2078200,3.13
2014-11-10,2.77,2.80,2.61,2.65,176100,2.65
2014-11-07,2.86,2.96,2.61,2.69,386000,2.69
2014-11-06,2.41,2.97,2.40,2.81,849800,2.81
2014-11-05,2.48,2.59,2.48,2.50,74900,2.50
2014-11-04,2.45,2.58,2.44,2.48,73100,2.48
2014-11-03,2.53,2.60,2.44,2.51,132400,2.51
2014-10-31,2.60,2.68,2.30,2.53,467200,2.53
2014-10-30,2.18,2.44,2.13,2.43,481100,2.43
2014-10-29,2.10,2.45,2.04,2.18,685500,2.18
2014-10-28,2.14,2.18,2.04,2.12,96100,2.12
2014-10-27,2.17,2.23,2.04,2.16,96500,2.16
2014-10-24,2.36,2.36,2.15,2.18,256700,2.18
2014-10-23,2.27,2.38,2.19,2.31,234700,2.31
2014-10-22,2.28,2.48,2.25,2.29,846000,2.29
2014-10-21,2.17,2.39,2.15,2.30,649800,2.30
2014-10-20,2.05,2.19,1.92,2.12,378100,2.12
2014-10-17,2.09,2.65,2.03,2.07,2762400,2.07
2014-10-16,1.94,2.02,1.85,1.89,248400,1.89
2014-10-15,1.84,2.03,1.80,1.87,245000,1.87
2014-10-14,2.07,2.09,1.86,1.90,347200,1.90
2014-10-13,2.11,2.24,2.06,2.06,409200,2.06
