Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,93.13,94.60,91.29,91.72,526300,91.72
2014-12-30,93.04,94.95,90.90,92.80,503500,92.80
2014-12-29,91.71,93.66,89.12,93.66,630900,93.66
2014-12-26,88.22,91.04,88.00,89.99,349100,89.99
2014-12-24,86.53,90.87,85.55,88.76,417500,88.76
2014-12-23,89.41,89.41,81.15,85.53,1521700,85.53
2014-12-22,91.53,93.00,88.55,89.90,635200,89.90
2014-12-19,90.76,92.04,89.13,92.00,1263800,92.00
2014-12-18,88.04,93.45,87.13,90.98,1065800,90.98
2014-12-17,85.96,89.27,84.98,87.89,884800,87.89
2014-12-16,86.05,88.17,84.28,85.87,2426900,85.87
2014-12-15,93.96,94.49,83.19,86.20,1806000,86.20
2014-12-12,84.50,92.00,84.50,91.28,1771700,91.28
2014-12-11,84.47,87.61,83.00,86.12,1480500,86.12
2014-12-10,82.02,88.63,81.02,82.71,2877900,82.71
2014-12-09,77.09,85.48,73.25,84.28,8209800,84.28
2014-12-08,45.81,49.83,45.24,48.89,1321000,48.89
2014-12-05,42.15,45.05,42.15,44.71,602200,44.71
2014-12-04,42.61,43.46,41.72,42.11,282300,42.11
2014-12-03,41.25,42.74,40.96,42.70,386300,42.70
2014-12-02,39.91,41.55,39.91,41.16,235600,41.16
2014-12-01,40.89,41.44,39.02,39.49,358200,39.49
2014-11-28,42.49,42.99,41.09,41.23,147300,41.23
2014-11-26,41.82,42.27,41.69,41.99,186300,41.99
2014-11-25,43.00,43.06,40.85,41.97,422600,41.97
2014-11-24,41.62,43.85,41.56,42.69,612700,42.69
2014-11-21,42.96,43.15,40.77,41.31,530300,41.31
2014-11-20,41.55,43.23,41.01,42.46,307800,42.46
2014-11-19,41.46,42.09,40.67,41.85,374000,41.85
2014-11-18,39.97,41.65,39.70,41.40,170600,41.40
2014-11-17,39.13,40.22,38.75,39.83,202000,39.83
2014-11-14,41.19,41.60,38.60,39.14,367000,39.14
2014-11-13,40.85,42.15,40.12,41.23,326200,41.23
2014-11-12,41.82,42.48,40.68,41.02,424800,41.02
2014-11-11,42.50,42.70,41.40,41.77,416500,41.77
2014-11-10,41.63,43.27,40.57,42.50,600000,42.50
2014-11-07,41.47,41.52,39.90,41.03,242100,41.03
2014-11-06,38.75,41.78,35.00,41.70,1157300,41.70
2014-11-05,42.38,42.38,38.07,39.01,610900,39.01
2014-11-04,41.61,42.83,41.27,41.89,309000,41.89
2014-11-03,41.90,42.18,41.01,41.61,1151800,41.61
2014-10-31,42.25,42.95,41.25,41.99,619900,41.99
2014-10-30,39.57,42.19,39.19,41.29,590100,41.29
2014-10-29,40.92,40.99,39.27,39.67,400100,39.67
2014-10-28,40.24,41.25,39.00,41.02,837500,41.02
2014-10-27,40.74,40.80,38.94,39.95,666400,39.95
2014-10-24,39.22,41.93,38.79,41.00,810500,41.00
2014-10-23,37.87,39.70,36.86,39.33,612900,39.33
2014-10-22,37.50,37.84,36.65,37.23,159200,37.23
2014-10-21,37.30,37.99,35.99,37.36,283600,37.36
2014-10-20,35.73,37.10,35.52,36.82,326400,36.82
2014-10-17,35.17,36.28,33.99,36.00,379300,36.00
2014-10-16,32.17,34.87,32.17,34.82,383100,34.82
2014-10-15,30.44,32.97,29.73,32.83,267300,32.83
2014-10-14,31.00,32.16,30.31,31.13,271000,31.13
2014-10-13,32.23,32.79,29.87,30.69,463000,30.69
2014-10-10,33.74,34.46,32.03,32.12,369700,32.12
2014-10-09,35.27,35.74,33.71,34.02,332000,34.02
2014-10-08,34.35,35.45,33.00,35.29,310900,35.29
2014-10-07,34.70,35.77,33.84,34.42,196700,34.42
2014-10-06,35.73,36.48,34.50,34.99,202500,34.99
2014-10-03,35.18,36.29,34.48,35.73,169500,35.73
2014-10-02,34.52,35.34,33.65,34.78,278100,34.78
2014-10-01,35.84,36.57,33.82,34.66,347800,34.66
2014-09-30,37.02,37.19,35.73,35.88,269200,35.88
2014-09-29,36.08,37.28,36.00,36.90,197700,36.90
2014-09-26,35.77,37.07,34.91,36.75,340300,36.75
2014-09-25,36.00,36.39,34.63,35.60,234400,35.60
2014-09-24,36.13,37.09,35.73,36.26,344800,36.26
2014-09-23,36.45,36.66,35.64,35.92,411900,35.92
2014-09-22,36.70,37.10,35.83,36.49,246300,36.49
2014-09-19,36.15,36.83,35.52,36.63,1195500,36.63
2014-09-18,35.40,36.25,34.83,36.00,216900,36.00
2014-09-17,35.36,35.98,34.97,35.37,238500,35.37
2014-09-16,34.25,36.25,33.81,35.46,287900,35.46
2014-09-15,36.78,37.02,33.61,34.32,371400,34.32
2014-09-12,36.48,37.14,36.09,36.90,288700,36.90
2014-09-11,37.11,37.26,35.65,36.50,509900,36.50
2014-09-10,36.78,37.84,36.78,37.84,171700,37.84
2014-09-09,37.74,38.28,36.65,36.90,270900,36.90
2014-09-08,38.50,38.87,36.55,37.69,705400,37.69
2014-09-05,38.34,39.22,37.85,38.44,228900,38.44
2014-09-04,38.20,38.89,37.69,37.86,194700,37.86
2014-09-03,38.57,39.23,37.47,38.03,223200,38.03
2014-09-02,40.16,40.26,36.83,38.54,498200,38.54
2014-08-29,37.02,40.06,37.02,40.01,526300,40.01
2014-08-28,37.24,38.87,36.92,36.98,222400,36.98
2014-08-27,37.06,38.99,36.42,37.64,449800,37.64
2014-08-26,36.75,37.33,36.40,36.97,275300,36.97
2014-08-25,36.00,37.68,35.60,36.72,274300,36.72
2014-08-22,35.45,35.86,34.85,35.58,115800,35.58
2014-08-21,36.93,37.12,34.80,35.51,266600,35.51
2014-08-20,36.97,37.46,36.50,36.89,199200,36.89
2014-08-19,37.32,37.77,36.76,37.11,221600,37.11
2014-08-18,36.74,38.42,36.52,37.25,512800,37.25
2014-08-15,35.52,36.98,34.94,36.40,425400,36.40
2014-08-14,34.90,35.26,34.55,35.11,281800,35.11
